log_time,steering_angle_enable,steering_angle,target_acceleration_enable,target_acceleration,indicator_left_enable,indicator_left,indicator_right_enable,indicator_right,gear_position_enable,gear_position,ebrake_status_enable,ebrake_status,lane_change,timestamp,mqtt_send_timestamp
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869670,1756881869670
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869680,1756881869680
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869690,1756881869690
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869700,1756881869700
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869710,1756881869710
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869720,1756881869720
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869730,1756881869730
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869740,1756881869740
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869750,1756881869750
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869760,1756881869760
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869770,1756881869770
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869780,1756881869780
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869790,1756881869790
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869800,1756881869800
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869810,1756881869810
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869820,1756881869820
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869830,1756881869830
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869840,1756881869840
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869850,1756881869850
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869860,1756881869860
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869870,1756881869870
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869880,1756881869880
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869890,1756881869890
14:44:29,0,30,0,0,0,0,0,0,0,0,0,0,0,1756881869900,1756881869900
