log_time,steering_angle_enable,steering_angle,target_acceleration_enable,target_acceleration,indicator_left_enable,indicator_left,indicator_right_enable,indicator_right,gear_position_enable,gear_position,ebrake_status_enable,ebrake_status,lane_change,timestamp,mqtt_send_timestamp
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153508
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153518
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153528
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153538
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153548
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153558
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153568
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153578
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153588
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153598
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153608
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153618
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153628
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153638
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153648
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153658
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153668
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153678
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153688
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153698
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153708
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153718
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153728
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153738
15:02:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710153748
